title,imdb_id
The Italian Job,tt0317740
Salt,tt0944835
Total Recall,tt1386703
The Iron Giant,tt0129167
Transcendence,tt2209764
The Tourist,tt1243957
Enchanted,tt0461770
Pitch Perfect 2,tt2848292
The Machinist,tt0361862
Final Destination,tt0195714
Collateral,tt0369339
The Gentlemen,tt8367814
Barbie,tt1517268
Uncharted,tt1464335
Alien³,tt0103644
The Princess and the Frog,tt0780521
Apocalypto,tt0472043
Due Date,tt1231583
The Adventures of Tintin,tt0983193
The Matrix Resurrections,tt10838180
Mars Attacks!,tt0116996
Sinister,tt1922777
Creed II,tt6343314
Apollo 13,tt0112384
Brother Bear,tt0328880
Non-Stop,tt2024469
Gifted,tt4481414
The Island,tt0399201
The World's End,tt1213663
Les Misérables,tt1707386
Anastasia,tt0118617
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,tt0443453
Guardians of the Galaxy Vol. 3,tt6791350
American Gangster,tt0765429
Hook,tt0102057
Bad Boys II,tt0172156
The Purge: Election Year,tt4094724
The Aviator,tt0338751
The Transporter,tt0293662
Knowing,tt0448011
First Man,tt1213641
Chronicle,tt1706593
True Grit,tt1403865
Orphan,tt1148204
Paper Towns,tt3622592
Percy Jackson: Sea of Monsters,tt1854564
The Favourite,tt5083738
Boyhood,tt1065073
Face/Off,tt0119094
Bullet Train,tt12593682
Fantastic Mr. Fox,tt0432283
Saw II,tt0432348
Escape Plan,tt1211956
The Shallows,tt4052882
17 Again,tt0974661
Hellboy II: The Golden Army,tt0411477
Batman Forever,tt0112462
National Treasure: Book of Secrets,tt0465234
Darkest Hour,tt4555426
13 Going on 30,tt0337563
Happy Feet,tt0366548
The Great Wall,tt2034800
Wind River,tt5362988
Daredevil,tt0287978
Gemini Man,tt1025100
Cowboys & Aliens,tt0409847
Love & Other Drugs,tt0758752
Death Proof,tt1028528
Lemony Snicket's A Series of Unfortunate Events,tt0339291
Bloodshot,tt1634106
Romeo + Juliet,tt0117509
Paranormal Activity,tt1179904
Man on Fire,tt0328107
Dredd,tt1343727
The Dark Tower,tt1648190
Jack the Giant Slayer,tt1351685
Crimson Peak,tt2554274
The Equalizer 2,tt3766354
Moneyball,tt1210166
Terminator: Dark Fate,tt6450804
In Bruges,tt0780536
John Wick: Chapter 4,tt10366206
